source,title,authors,journal,year,doi,pmid,source_url,meta,snippet,rank
scholar,Adherence to positive airway pressure therapy and healthcare resource utilization and costs among patients with obstructive sleep apnea and obesity: Health …,"FH Sert Kuniyoshi, A Cameron, JL Pépin…",International Journal of …,2026,,,https://www.nature.com/articles/s41366-025-01985-1,"FH Sert Kuniyoshi, A Cameron, JL Pépin… - International Journal of …, 2026 - nature.com","… PAP usage data collected from cloudconnected devices (AirView™; Resmed, San Diego, CA). … of accuracy than claims-based definitions of PAP adherence [49]. The linkage of objective …",11
scholar,Positive airway pressure therapy adherence and health care resource use in patients with obstructive sleep apnea and heart failure with preserved ejection fraction,"PA Cistulli, A Malhotra, KV Cole, AS Malik…",Journal of the …,2023,10.1161/jaha.122.028733,,https://www.ahajournals.org/doi/abs/10.1161/jaha.122.028733,"PA Cistulli, A Malhotra, KV Cole, AS Malik… - Journal of the …, 2023 - ahajournals.org","… positive airway pressure (PAP) therapy in HFpEF. This study assessed the association between adherence … of sleep‐disordered breathing via upper airway edema, effects on control of …",12
scholar,[HTML] Factors affecting CPAP adherence in an OSA population during the first two years of the COVID-19 pandemic,"D Lykouras, E Zarkadi, E Koulousousa, O Lagiou…",Healthcare,2024,,,https://www.mdpi.com/2227-9032/12/17/1772,"D Lykouras, E Zarkadi, E Koulousousa, O Lagiou… - Healthcare, 2024 - mdpi.com","… Continuous positive airway pressure (CPAP) is the standard … chips were used to accurately track adherence data. They … by some of our patients, ResMed Airview, was also not found to …",13
scholar,Augmenting management of obstructive sleep apnea with consumer wearable devices to increase use of positive airway pressure therapy: a pilot randomized trial,"CH Fung, S Mak, G Ash, E Der-McLeod…",SLEEPJ,2026,,,https://academic.oup.com/sleep/article-abstract/49/4/zsaf342/8305741,"CH Fung, S Mak, G Ash, E Der-McLeod… - SLEEPJ, 2026 - academic.oup.com",,14
scholar,Telemonitoring in Non-invasive Ventilation,"S Khirani, M Patout, JM Arnal",Sleep Medicine Clinics,2024,,,https://www.sleep.theclinics.com/article/s1556-407x(24)00045-6/abstract,"S Khirani, M Patout, JM Arnal - Sleep Medicine Clinics, 2024 - sleep.theclinics.com",… of long-term home continuous positive airway pressure (CPAP) … The accuracy of data varies according to the type of variable … Airview Number of days without data transmission Daily use …,15
scholar,Automatic alveolar ventilation-targeted NIV mode vs polysomnographic titration of fixed pressure in naive patients with chronic respiratory failure,"M Matute-Villacís, M Puig Dupre, D Gascueña…",sleep,2026,10.1093/sleep/zsag085/8541699,,https://academic.oup.com/sleep/advance-article-abstract/doi/10.1093/sleep/zsag085/8541699,"M Matute-Villacís, M Puig Dupre, D Gascueña… - sleep, 2026 - academic.oup.com","… positive airway pressure, with fixed inspiratory (IPAP) and expiratory (EPAP) … Airview platform for remote interventions by phone call and/or outpatient visit if necessary (leaks, adherence …",16
scholar,Annual Versus Patient‐Initiated Follow‐Up in Sleep Apnoea Care: A Quasi‐Experimental Study,"K Jeppesen, DL Wolff, SR Petersen…",Journal of Sleep …,2026,10.1111/jsr.70350,,https://onlinelibrary.wiley.com/doi/abs/10.1111/jsr.70350,"K Jeppesen, DL Wolff, SR Petersen… - Journal of Sleep …, 2026 - Wiley Online Library","… positive airway pressure (APAP) devices, with pressure … Included in this study were patients who achieved high adherence to … with a cloud- based solution by ResMed AirView. Patients …",17
scholar,Technological advances in home non‐invasive ventilation monitoring: reliability of data and effect on patient outcomes,"JC Borel, A Palot, M Patout",Respirology,2019,10.1111/resp.13497,,https://onlinelibrary.wiley.com/doi/abs/10.1111/resp.13497,"JC Borel, A Palot, M Patout - Respirology, 2019 - Wiley Online Library","… less accurate, with significant differences in accuracy between ventilators when significant leaks occurred.19 Regarding respiratory … in investment and poor adherence to the monitoring …",18
scholar,Revolutionizing sleep apnea management: harnessing telemedicine to transform traditional care into e-health solutions,"E Battaglia, V Poletti, E Compalati, E Volpato…",… Cyber-Physical Systems …,2026,,,https://www.sciencedirect.com/science/chapter/edited-volume/pii/b9780443415456000142,"E Battaglia, V Poletti, E Compalati, E Volpato… - … Cyber-Physical Systems …, 2026 - Elsevier","… systems such as bilevel positive airway pressure (BiPAP), auto-… adherence to home treatment for sleep-related breathing … at the Sleep Center, while the Care Orchestrator and Airview …",19
scholar,[C] Influence of Motivational Text Messages on Adherence to Continuous Positive Airway Pressure Therapy,J Dunlap,,2019,,,,J Dunlap - 2019,,20
